Número de cliente,Nombre,RFC,Teléfonos,Correo,Dirección,Fecha de alta,Fecha de baja,Razón social,Tipo de persona,Segmento,Banco,Sucursal origen,Sucursal atiende,Promotor origen,Promotor atiende,ID del prospecto de cliente,Última calificación de buró,Concierge asignado,Promotores de apoyo asignados
CLI-4000011,Sergio Bañuelos Tovar,ANAL911212L7H,"5513580237, 8184197531",sergio.banuelos@correo.com,"Av. Vallarta 2200, Col. Americana, Guadalajara, JAL, 44160",17/08/2024,,Sergio Bañuelos Tovar,PFAE,Patrimonial,Banco B,Valle Oriente,San Pedro,Ana López,Ana López,,677,USR-0012,
CLI-4000012,Logística Integral MX SA,CAR920113M4K,"5514814804, 8191851852",logistica.integral@empresa.com,"Av. Paseo de la Reforma 123, Col. Juárez, CDMX, 06600",20/08/2024,,Logística Integral MX SA,PM,Empresarial,Banco A,Monterrey Centro,Guadalajara Sur,Carlos Ruiz,Carlos Ruiz,POF000012,684,USR-0013,PRM1003;PRM1007
CLI-4000013,Roberto Cano Lugo,MARÍ930214N1N,"5516049371, 8199506173",roberto.cano@correo.com,"Calz. del Valle 456, San Pedro Garza García, NL, 66220",23/08/2024,,Roberto Cano Lugo,PF,PyME,Banco B,San Pedro,CDMX Reforma,María García,María García,,691,USR-0014,
CLI-4000014,Gabriela Ortiz Mena,JORG940315O8Q,"5517283938, 8107160494",gabriela.ortiz@correo.com,"Blvd. Díaz Ordaz 789, Guadalajara, JAL, 44100",26/08/2024,,Gabriela Ortiz Mena,PFAE,Banca personal,Banco A,Guadalajara Sur,Mérida,Jorge Pérez,Jorge Pérez,POF000014,698,USR-0015,
CLI-4000015,Servicios Corporativos Delta SA,LAU950416P5T,"5518518505, 8114814815",servicios.corporativos@empresa.com,"Av. Constitución 1010, Monterrey, NL, 64000",29/08/2024,,Servicios Corporativos Delta SA,PM,Preferente,Banco B,CDMX Reforma,Valle Oriente,Laura Méndez,Laura Méndez,,705,USR-0016,PRM1003;PRM1007
CLI-4000016,Mónica Vela Duarte,DIEG960517Q2W,"5519753072, 8122469136",monica.vela@correo.com,"Calle 60 #321, Centro, Mérida, YUC, 97000",01/09/2024,,Mónica Vela Duarte,PF,Patrimonial,Banco A,Mérida,Monterrey Centro,Diego Torres,Diego Torres,POF000016,712,USR-0017,
CLI-4000017,Andrés Lozano Peña,SOFÍ970618R9Z,"5520987639, 8130123457",andres.lozano@correo.com,"Av. Vallarta 2200, Col. Americana, Guadalajara, JAL, 44160",04/09/2024,,Andrés Lozano Peña,PFAE,Empresarial,Banco B,Valle Oriente,San Pedro,Sofía Ramírez,Sofía Ramírez,,719,USR-0018,
CLI-4000018,Industrias Pacífico SA de CV,LUI980719S6C,"5522222206, 8137777778",industrias.pacifico@empresa.com,"Av. Paseo de la Reforma 123, Col. Juárez, CDMX, 06600",07/09/2024,,Industrias Pacífico SA de CV,PM,PyME,Banco A,Monterrey Centro,Guadalajara Sur,Luis Hernández,Luis Hernández,POF000018,726,USR-0019,PRM1003;PRM1007
CLI-4000019,Héctor Maldonado Ruiz,PAOL990820T3F,"5523456773, 8145432099",hector.maldonado@correo.com,"Calz. del Valle 456, San Pedro Garza García, NL, 66220",10/09/2024,,Héctor Maldonado Ruiz,PF,Banca personal,Banco B,San Pedro,CDMX Reforma,Paola Castro,Paola Castro,,733,USR-0020,
CLI-4000020,Verónica Campos León,MIGU800921U0I,"5524691340, 8153086420",veronica.campos@correo.com,"Blvd. Díaz Ordaz 789, Guadalajara, JAL, 44100",13/09/2024,,Verónica Campos León,PFAE,Preferente,Banco A,Guadalajara Sur,Mérida,Miguel Díaz,Miguel Díaz,POF000020,740,USR-0021,
CLI-4000021,Alimentos Selectos SA de CV,ANA811022V7L,"5525925907, 8160740741",alimentos.selectos@empresa.com,"Av. Constitución 1010, Monterrey, NL, 64000",16/09/2024,,Alimentos Selectos SA de CV,PM,Patrimonial,Banco B,CDMX Reforma,Valle Oriente,Ana López,Ana López,,747,USR-0022,PRM1003;PRM1007
CLI-4000022,Daniela Ponce Mora,CARL821123W4O,"5527160474, 8168395062",daniela.ponce@correo.com,"Calle 60 #321, Centro, Mérida, YUC, 97000",19/09/2024,,Daniela Ponce Mora,PF,Empresarial,Banco A,Mérida,Monterrey Centro,Carlos Ruiz,Carlos Ruiz,POF000022,754,USR-0023,
CLI-4000023,Sergio Bañuelos Tovar,MARÍ831224X1R,"5528395041, 8176049383",sergio.banuelos@correo.com,"Av. Vallarta 2200, Col. Americana, Guadalajara, JAL, 44160",22/09/2024,,Sergio Bañuelos Tovar,PFAE,PyME,Banco B,Valle Oriente,San Pedro,María García,María García,,761,USR-0024,
CLI-4000024,Constructora del Norte SA de CV,JOR840125Y8U,"5529629608, 8183703704",constructora.del@empresa.com,"Av. Paseo de la Reforma 123, Col. Juárez, CDMX, 06600",25/09/2024,,Constructora del Norte SA de CV,PM,Banca personal,Banco A,Monterrey Centro,Guadalajara Sur,Jorge Pérez,Jorge Pérez,POF000024,768,USR-0025,PRM1003;PRM1007
CLI-4000025,Roberto Cano Lugo,LAUR850226Z5X,"5530864175, 8191358025",roberto.cano@correo.com,"Calz. del Valle 456, San Pedro Garza García, NL, 66220",28/09/2024,,Roberto Cano Lugo,PF,Preferente,Banco B,San Pedro,CDMX Reforma,Laura Méndez,Laura Méndez,,775,USR-0026,
CLI-4000026,Gabriela Ortiz Mena,DIEG860327A2A,"5532098742, 8199012346",gabriela.ortiz@correo.com,"Blvd. Díaz Ordaz 789, Guadalajara, JAL, 44100",01/10/2024,,Gabriela Ortiz Mena,PFAE,Patrimonial,Banco A,Guadalajara Sur,Mérida,Diego Torres,Diego Torres,POF000026,782,USR-0027,
CLI-4000027,Grupo Aurora SAPI de CV,SOF870401B9D,"5533333309, 8106666667",grupo.aurora@empresa.com,"Av. Constitución 1010, Monterrey, NL, 64000",04/10/2024,,Grupo Aurora SAPI de CV,PM,Empresarial,Banco B,CDMX Reforma,Valle Oriente,Sofía Ramírez,Sofía Ramírez,,789,USR-0028,PRM1003;PRM1007
CLI-4000028,Mónica Vela Duarte,LUIS880502C6G,"5534567876, 8114320988",monica.vela@correo.com,"Calle 60 #321, Centro, Mérida, YUC, 97000",07/10/2024,,Mónica Vela Duarte,PF,PyME,Banco A,Mérida,Monterrey Centro,Luis Hernández,Luis Hernández,POF000028,796,USR-0029,
CLI-4000029,Andrés Lozano Peña,PAOL890603D3J,"5535802443, 8121975309",andres.lozano@correo.com,"Av. Vallarta 2200, Col. Americana, Guadalajara, JAL, 44160",10/10/2024,,Andrés Lozano Peña,PFAE,Banca personal,Banco B,Valle Oriente,San Pedro,Paola Castro,Paola Castro,,803,USR-0030,
CLI-4000030,Tecnología Vértice SA,MIG900704E0M,"5537037010, 8129629630",tecnologia.vertice@empresa.com,"Av. Paseo de la Reforma 123, Col. Juárez, CDMX, 06600",13/10/2024,,Tecnología Vértice SA,PM,Preferente,Banco A,Monterrey Centro,Guadalajara Sur,Miguel Díaz,Miguel Díaz,POF000030,810,USR-0031,PRM1003;PRM1007
CLI-4000031,Héctor Maldonado Ruiz,ANAL910805F7P,"5538271577, 8137283951",hector.maldonado@correo.com,"Calz. del Valle 456, San Pedro Garza García, NL, 66220",16/10/2024,,Héctor Maldonado Ruiz,PF,Patrimonial,Banco B,San Pedro,CDMX Reforma,Ana López,Ana López,,817,USR-0032,
CLI-4000032,Verónica Campos León,CARL920906G4S,"5539506144, 8144938272",veronica.campos@correo.com,"Blvd. Díaz Ordaz 789, Guadalajara, JAL, 44100",19/10/2024,,Verónica Campos León,PFAE,Empresarial,Banco A,Guadalajara Sur,Mérida,Carlos Ruiz,Carlos Ruiz,POF000032,824,USR-0033,
CLI-4000033,Comercializadora Helios SA,MAR931007H1V,"5540740711, 8152592593",comercializadora.helios@empresa.com,"Av. Constitución 1010, Monterrey, NL, 64000",22/10/2024,,Comercializadora Helios SA,PM,PyME,Banco B,CDMX Reforma,Valle Oriente,María García,María García,,831,USR-0034,PRM1003;PRM1007
CLI-4000034,Daniela Ponce Mora,JORG941108I8Y,"5541975278, 8160246914",daniela.ponce@correo.com,"Calle 60 #321, Centro, Mérida, YUC, 97000",25/10/2024,,Daniela Ponce Mora,PF,Banca personal,Banco A,Mérida,Monterrey Centro,Jorge Pérez,Jorge Pérez,POF000034,838,USR-0035,
CLI-4000035,Sergio Bañuelos Tovar,LAUR951209J5B,"5543209845, 8167901235",sergio.banuelos@correo.com,"Av. Vallarta 2200, Col. Americana, Guadalajara, JAL, 44160",28/10/2024,,Sergio Bañuelos Tovar,PFAE,Preferente,Banco B,Valle Oriente,San Pedro,Laura Méndez,Laura Méndez,,845,USR-0036,
CLI-4000036,Logística Integral MX SA,DIE960110K2E,"5544444412, 8175555556",logistica.integral@empresa.com,"Av. Paseo de la Reforma 123, Col. Juárez, CDMX, 06600",31/10/2024,,Logística Integral MX SA,PM,Patrimonial,Banco A,Monterrey Centro,Guadalajara Sur,Diego Torres,Diego Torres,POF000036,602,USR-0037,PRM1003;PRM1007
CLI-4000037,Roberto Cano Lugo,SOFÍ970211L9H,"5545678979, 8183209877",roberto.cano@correo.com,"Calz. del Valle 456, San Pedro Garza García, NL, 66220",03/11/2024,,Roberto Cano Lugo,PF,Empresarial,Banco B,San Pedro,CDMX Reforma,Sofía Ramírez,Sofía Ramírez,,609,USR-0038,
CLI-4000038,Gabriela Ortiz Mena,LUIS980312M6K,"5546913546, 8190864198",gabriela.ortiz@correo.com,"Blvd. Díaz Ordaz 789, Guadalajara, JAL, 44100",06/11/2024,,Gabriela Ortiz Mena,PFAE,PyME,Banco A,Guadalajara Sur,Mérida,Luis Hernández,Luis Hernández,POF000038,616,USR-0039,
CLI-4000039,Servicios Corporativos Delta SA,PAO990413N3N,"5548148113, 8198518519",servicios.corporativos@empresa.com,"Av. Constitución 1010, Monterrey, NL, 64000",09/11/2024,,Servicios Corporativos Delta SA,PM,Banca personal,Banco B,CDMX Reforma,Valle Oriente,Paola Castro,Paola Castro,,623,USR-0040,PRM1003;PRM1007
CLI-4000040,Mónica Vela Duarte,MIGU800514O0Q,"5549382680, 8106172840",monica.vela@correo.com,"Calle 60 #321, Centro, Mérida, YUC, 97000",22/12/2024,,Mónica Vela Duarte,PF,Preferente,Banco A,Mérida,Monterrey Centro,Miguel Díaz,Miguel Díaz,POF000040,630,USR-0001,
CLI-4000041,Andrés Lozano Peña,ANAL810615P7T,"5550617247, 8113827161",andres.lozano@correo.com,"Av. Vallarta 2200, Col. Americana, Guadalajara, JAL, 44160",25/12/2024,,Andrés Lozano Peña,PFAE,Patrimonial,Banco B,Valle Oriente,San Pedro,Ana López,Ana López,,637,USR-0002,
CLI-4000042,Industrias Pacífico SA de CV,CAR820716Q4W,"5551851814, 8121481482",industrias.pacifico@empresa.com,"Av. Paseo de la Reforma 123, Col. Juárez, CDMX, 06600",28/12/2024,,Industrias Pacífico SA de CV,PM,Empresarial,Banco A,Monterrey Centro,Guadalajara Sur,Carlos Ruiz,Carlos Ruiz,POF000042,644,USR-0003,PRM1003;PRM1007
CLI-4000043,Héctor Maldonado Ruiz,MARÍ830817R1Z,"5553086381, 8129135803",hector.maldonado@correo.com,"Calz. del Valle 456, San Pedro Garza García, NL, 66220",31/12/2024,,Héctor Maldonado Ruiz,PF,PyME,Banco B,San Pedro,CDMX Reforma,María García,María García,,651,USR-0004,
CLI-4000044,Verónica Campos León,JORG840918S8C,"5554320948, 8136790124",veronica.campos@correo.com,"Blvd. Díaz Ordaz 789, Guadalajara, JAL, 44100",03/01/2025,,Verónica Campos León,PFAE,Banca personal,Banco A,Guadalajara Sur,Mérida,Jorge Pérez,Jorge Pérez,POF000044,658,USR-0005,
CLI-4000045,Alimentos Selectos SA de CV,LAU851019T5F,"5555555515, 8144444445",alimentos.selectos@empresa.com,"Av. Constitución 1010, Monterrey, NL, 64000",06/01/2025,,Alimentos Selectos SA de CV,PM,Preferente,Banco B,CDMX Reforma,Valle Oriente,Laura Méndez,Laura Méndez,,665,USR-0006,PRM1003;PRM1007
CLI-4000046,Daniela Ponce Mora,DIEG861120U2I,"5556790082, 8152098766",daniela.ponce@correo.com,"Calle 60 #321, Centro, Mérida, YUC, 97000",09/01/2025,,Daniela Ponce Mora,PF,Patrimonial,Banco A,Mérida,Monterrey Centro,Diego Torres,Diego Torres,POF000046,672,USR-0007,
CLI-4000047,Sergio Bañuelos Tovar,SOFÍ871221V9L,"5558024649, 8159753087",sergio.banuelos@correo.com,"Av. Vallarta 2200, Col. Americana, Guadalajara, JAL, 44160",12/01/2025,,Sergio Bañuelos Tovar,PFAE,Empresarial,Banco B,Valle Oriente,San Pedro,Sofía Ramírez,Sofía Ramírez,,679,USR-0008,
CLI-4000048,Constructora del Norte SA de CV,LUI880122W6O,"5559259216, 8167407408",constructora.del@empresa.com,"Av. Paseo de la Reforma 123, Col. Juárez, CDMX, 06600",15/01/2025,,Constructora del Norte SA de CV,PM,PyME,Banco A,Monterrey Centro,Guadalajara Sur,Luis Hernández,Luis Hernández,POF000048,686,USR-0009,PRM1003;PRM1007
CLI-4000049,Roberto Cano Lugo,PAOL890223X3R,"5560493783, 8175061729",roberto.cano@correo.com,"Calz. del Valle 456, San Pedro Garza García, NL, 66220",18/01/2025,,Roberto Cano Lugo,PF,Banca personal,Banco B,San Pedro,CDMX Reforma,Paola Castro,Paola Castro,,693,USR-0010,
CLI-4000050,Gabriela Ortiz Mena,MIGU900324Y0U,"5561728350, 8182716050",gabriela.ortiz@correo.com,"Blvd. Díaz Ordaz 789, Guadalajara, JAL, 44100",21/01/2025,,Gabriela Ortiz Mena,PFAE,Preferente,Banco A,Guadalajara Sur,Mérida,Miguel Díaz,Miguel Díaz,POF000050,700,USR-0011,
CLI-4000051,Grupo Aurora SAPI de CV,ANA910425Z7X,"5562962917, 8190370371",grupo.aurora@empresa.com,"Av. Constitución 1010, Monterrey, NL, 64000",24/01/2025,,Grupo Aurora SAPI de CV,PM,Patrimonial,Banco B,CDMX Reforma,Valle Oriente,Ana López,Ana López,,707,USR-0012,PRM1003;PRM1007
CLI-4000052,Mónica Vela Duarte,CARL920526A4A,"5564197484, 8198024692",monica.vela@correo.com,"Calle 60 #321, Centro, Mérida, YUC, 97000",27/01/2025,,Mónica Vela Duarte,PF,Empresarial,Banco A,Mérida,Monterrey Centro,Carlos Ruiz,Carlos Ruiz,POF000052,714,USR-0013,
CLI-4000053,Andrés Lozano Peña,MARÍ930627B1D,"5565432051, 8105679013",andres.lozano@correo.com,"Av. Vallarta 2200, Col. Americana, Guadalajara, JAL, 44160",30/01/2025,,Andrés Lozano Peña,PFAE,PyME,Banco B,Valle Oriente,San Pedro,María García,María García,,721,USR-0014,
CLI-4000054,Tecnología Vértice SA,JOR940701C8G,"5566666618, 8113333334",tecnologia.vertice@empresa.com,"Av. Paseo de la Reforma 123, Col. Juárez, CDMX, 06600",02/02/2025,,Tecnología Vértice SA,PM,Banca personal,Banco A,Monterrey Centro,Guadalajara Sur,Jorge Pérez,Jorge Pérez,POF000054,728,USR-0015,PRM1003;PRM1007
CLI-4000055,Héctor Maldonado Ruiz,LAUR950802D5J,"5567901185, 8120987655",hector.maldonado@correo.com,"Calz. del Valle 456, San Pedro Garza García, NL, 66220",05/02/2025,,Héctor Maldonado Ruiz,PF,Preferente,Banco B,San Pedro,CDMX Reforma,Laura Méndez,Laura Méndez,,735,USR-0016,
CLI-4000056,Verónica Campos León,DIEG960903E2M,"5569135752, 8128641976",veronica.campos@correo.com,"Blvd. Díaz Ordaz 789, Guadalajara, JAL, 44100",08/02/2025,,Verónica Campos León,PFAE,Patrimonial,Banco A,Guadalajara Sur,Mérida,Diego Torres,Diego Torres,POF000056,742,USR-0017,
CLI-4000057,Comercializadora Helios SA,SOF971004F9P,"5570370319, 8136296297",comercializadora.helios@empresa.com,"Av. Constitución 1010, Monterrey, NL, 64000",11/02/2025,,Comercializadora Helios SA,PM,Empresarial,Banco B,CDMX Reforma,Valle Oriente,Sofía Ramírez,Sofía Ramírez,,749,USR-0018,PRM1003;PRM1007
CLI-4000058,Daniela Ponce Mora,LUIS981105G6S,"5571604886, 8143950618",daniela.ponce@correo.com,"Calle 60 #321, Centro, Mérida, YUC, 97000",14/02/2025,,Daniela Ponce Mora,PF,PyME,Banco A,Mérida,Monterrey Centro,Luis Hernández,Luis Hernández,POF000058,756,USR-0019,
CLI-4000059,Sergio Bañuelos Tovar,PAOL991206H3V,"5572839453, 8151604939",sergio.banuelos@correo.com,"Av. Vallarta 2200, Col. Americana, Guadalajara, JAL, 44160",17/02/2025,,Sergio Bañuelos Tovar,PFAE,Banca personal,Banco B,Valle Oriente,San Pedro,Paola Castro,Paola Castro,,763,USR-0020,
CLI-4000060,Logística Integral MX SA,MIG800107I0Y,"5574074020, 8159259260",logistica.integral@empresa.com,"Av. Paseo de la Reforma 123, Col. Juárez, CDMX, 06600",20/02/2025,,Logística Integral MX SA,PM,Preferente,Banco A,Monterrey Centro,Guadalajara Sur,Miguel Díaz,Miguel Díaz,POF000060,770,USR-0021,PRM1003;PRM1007
CLI-4000061,Roberto Cano Lugo,ANAL810208J7B,"5575308587, 8166913581",roberto.cano@correo.com,"Calz. del Valle 456, San Pedro Garza García, NL, 66220",23/02/2025,,Roberto Cano Lugo,PF,Patrimonial,Banco B,San Pedro,CDMX Reforma,Ana López,Ana López,,777,USR-0022,
CLI-4000062,Gabriela Ortiz Mena,CARL820309K4E,"5576543154, 8174567902",gabriela.ortiz@correo.com,"Blvd. Díaz Ordaz 789, Guadalajara, JAL, 44100",26/02/2025,,Gabriela Ortiz Mena,PFAE,Empresarial,Banco A,Guadalajara Sur,Mérida,Carlos Ruiz,Carlos Ruiz,POF000062,784,USR-0023,
CLI-4000063,Servicios Corporativos Delta SA,MAR830410L1H,"5577777721, 8182222223",servicios.corporativos@empresa.com,"Av. Constitución 1010, Monterrey, NL, 64000",01/03/2025,,Servicios Corporativos Delta SA,PM,PyME,Banco B,CDMX Reforma,Valle Oriente,María García,María García,,791,USR-0024,PRM1003;PRM1007
CLI-4000064,Mónica Vela Duarte,JORG840511M8K,"5579012288, 8189876544",monica.vela@correo.com,"Calle 60 #321, Centro, Mérida, YUC, 97000",04/03/2025,,Mónica Vela Duarte,PF,Banca personal,Banco A,Mérida,Monterrey Centro,Jorge Pérez,Jorge Pérez,POF000064,798,USR-0025,
CLI-4000065,Andrés Lozano Peña,LAUR850612N5N,"5580246855, 8197530865",andres.lozano@correo.com,"Av. Vallarta 2200, Col. Americana, Guadalajara, JAL, 44160",07/03/2025,,Andrés Lozano Peña,PFAE,Preferente,Banco B,Valle Oriente,San Pedro,Laura Méndez,Laura Méndez,,805,USR-0026,
CLI-4000066,Industrias Pacífico SA de CV,DIE860713O2Q,"5581481422, 8105185186",industrias.pacifico@empresa.com,"Av. Paseo de la Reforma 123, Col. Juárez, CDMX, 06600",10/03/2025,,Industrias Pacífico SA de CV,PM,Patrimonial,Banco A,Monterrey Centro,Guadalajara Sur,Diego Torres,Diego Torres,POF000066,812,USR-0027,PRM1003;PRM1007
CLI-4000067,Héctor Maldonado Ruiz,SOFÍ870814P9T,"5582715989, 8112839507",hector.maldonado@correo.com,"Calz. del Valle 456, San Pedro Garza García, NL, 66220",13/03/2025,,Héctor Maldonado Ruiz,PF,Empresarial,Banco B,San Pedro,CDMX Reforma,Sofía Ramírez,Sofía Ramírez,,819,USR-0028,
CLI-4000068,Verónica Campos León,LUIS880915Q6W,"5583950556, 8120493828",veronica.campos@correo.com,"Blvd. Díaz Ordaz 789, Guadalajara, JAL, 44100",16/03/2025,,Verónica Campos León,PFAE,PyME,Banco A,Guadalajara Sur,Mérida,Luis Hernández,Luis Hernández,POF000068,826,USR-0029,
CLI-4000069,Alimentos Selectos SA de CV,PAO891016R3Z,"5585185123, 8128148149",alimentos.selectos@empresa.com,"Av. Constitución 1010, Monterrey, NL, 64000",19/03/2025,,Alimentos Selectos SA de CV,PM,Banca personal,Banco B,CDMX Reforma,Valle Oriente,Paola Castro,Paola Castro,,833,USR-0030,PRM1003;PRM1007
CLI-4000070,Daniela Ponce Mora,MIGU901117S0C,"5586419690, 8135802470",daniela.ponce@correo.com,"Calle 60 #321, Centro, Mérida, YUC, 97000",22/03/2025,,Daniela Ponce Mora,PF,Preferente,Banco A,Mérida,Monterrey Centro,Miguel Díaz,Miguel Díaz,POF000070,840,USR-0031,
CLI-4000071,Sergio Bañuelos Tovar,ANAL911218T7F,"5587654257, 8143456791",sergio.banuelos@correo.com,"Av. Vallarta 2200, Col. Americana, Guadalajara, JAL, 44160",25/03/2025,,Sergio Bañuelos Tovar,PFAE,Patrimonial,Banco B,Valle Oriente,San Pedro,Ana López,Ana López,,847,USR-0032,
CLI-4000072,Constructora del Norte SA de CV,CAR920119U4I,"5588888824, 8151111112",constructora.del@empresa.com,"Av. Paseo de la Reforma 123, Col. Juárez, CDMX, 06600",28/03/2025,,Constructora del Norte SA de CV,PM,Empresarial,Banco A,Monterrey Centro,Guadalajara Sur,Carlos Ruiz,Carlos Ruiz,POF000072,604,USR-0033,PRM1003;PRM1007
CLI-4000073,Roberto Cano Lugo,MARÍ930220V1L,"5590123391, 8158765433",roberto.cano@correo.com,"Calz. del Valle 456, San Pedro Garza García, NL, 66220",31/03/2025,,Roberto Cano Lugo,PF,PyME,Banco B,San Pedro,CDMX Reforma,María García,María García,,611,USR-0034,
CLI-4000074,Gabriela Ortiz Mena,JORG940321W8O,"5591357958, 8166419754",gabriela.ortiz@correo.com,"Blvd. Díaz Ordaz 789, Guadalajara, JAL, 44100",03/04/2025,,Gabriela Ortiz Mena,PFAE,Banca personal,Banco A,Guadalajara Sur,Mérida,Jorge Pérez,Jorge Pérez,POF000074,618,USR-0035,
CLI-4000075,Grupo Aurora SAPI de CV,LAU950422X5R,"5592592525, 8174074075",grupo.aurora@empresa.com,"Av. Constitución 1010, Monterrey, NL, 64000",06/04/2025,,Grupo Aurora SAPI de CV,PM,Preferente,Banco B,CDMX Reforma,Valle Oriente,Laura Méndez,Laura Méndez,,625,USR-0036,PRM1003;PRM1007
CLI-4000076,Mónica Vela Duarte,DIEG960523Y2U,"5593827092, 8181728396",monica.vela@correo.com,"Calle 60 #321, Centro, Mérida, YUC, 97000",09/04/2025,,Mónica Vela Duarte,PF,Patrimonial,Banco A,Mérida,Monterrey Centro,Diego Torres,Diego Torres,POF000076,632,USR-0037,
CLI-4000077,Andrés Lozano Peña,SOFÍ970624Z9X,"5595061659, 8189382717",andres.lozano@correo.com,"Av. Vallarta 2200, Col. Americana, Guadalajara, JAL, 44160",12/04/2025,,Andrés Lozano Peña,PFAE,Empresarial,Banco B,Valle Oriente,San Pedro,Sofía Ramírez,Sofía Ramírez,,639,USR-0038,
CLI-4000078,Tecnología Vértice SA,LUI980725A6A,"5596296226, 8197037038",tecnologia.vertice@empresa.com,"Av. Paseo de la Reforma 123, Col. Juárez, CDMX, 06600",15/04/2025,,Tecnología Vértice SA,PM,PyME,Banco A,Monterrey Centro,Guadalajara Sur,Luis Hernández,Luis Hernández,POF000078,646,USR-0039,PRM1003;PRM1007
CLI-4000079,Héctor Maldonado Ruiz,PAOL990826B3D,"5597530793, 8104691359",hector.maldonado@correo.com,"Calz. del Valle 456, San Pedro Garza García, NL, 66220",18/04/2025,,Héctor Maldonado Ruiz,PF,Banca personal,Banco B,San Pedro,CDMX Reforma,Paola Castro,Paola Castro,,653,USR-0040,
CLI-4000080,Verónica Campos León,MIGU800927C0G,"5598765360, 8112345680",veronica.campos@correo.com,"Blvd. Díaz Ordaz 789, Guadalajara, JAL, 44100",31/05/2025,,Verónica Campos León,PFAE,Preferente,Banco A,Guadalajara Sur,Mérida,Miguel Díaz,Miguel Díaz,POF000080,660,USR-0001,
CLI-4000081,Comercializadora Helios SA,ANA811001D7J,"5599999927, 8120000001",comercializadora.helios@empresa.com,"Av. Constitución 1010, Monterrey, NL, 64000",03/06/2025,,Comercializadora Helios SA,PM,Patrimonial,Banco B,CDMX Reforma,Valle Oriente,Ana López,Ana López,,667,USR-0002,PRM1003;PRM1007
